x	y	lnx	lny
0	0	0	0
1	6649.4	0.693147181	8.802432282
2	1689.5	1.098612289	7.432779622
3	659.4	1.386294361	6.492845712
4	335.9	1.609437912	5.81978615
5	195	1.791759469	5.278114659
6	114.3	1.945910149	4.747537427
7	76.7	2.079441542	4.352855257
8	55.1	2.197224577	4.027135813
9	42.2	2.302585093	3.765840495
10	30.4	2.397895273	3.446807893
11	21.3	2.48490665	3.104586678
12	17.5	2.564949357	2.917770732
13	15.7	2.63905733	2.815408719
14	12	2.708050201	2.564949357
15	10.7	2.772588722	2.459588842
16	7.6	2.833213344	2.151762203
17	7.9	2.890371758	2.186051277
18	5.9	2.944438979	1.931521412
19	4.7	2.995732274	1.740466175
20	4.5	3.044522438	1.704748092
21	3.4	3.091042453	1.481604541
22	2.6	3.135494216	1.280933845
23	2.7	3.17805383	1.30833282
24	2.2	3.218875825	1.16315081
25	2.4	3.258096538	1.223775432
26	2.3	3.295836866	1.193922468
27	1.6	3.33220451	0.955511445
28	1.9	3.36729583	1.064710737
29	0.9	3.401197382	0.641853886
30	2.2	3.433987204	1.16315081
31	1.5	3.465735903	0.916290732
32	1.6	3.496507561	0.955511445
33	0.8	3.526360525	0.587786665
34	1	3.555348061	0.693147181
35	1.1	3.583518938	0.741937345
36	0.9	3.610917913	0.641853886
37	0.3	3.63758616	0.262364264
38	0.8	3.663561646	0.587786665
39	0.9	3.688879454	0.641853886
40	0.3	3.713572067	0.262364264
41	0.4	3.737669618	0.336472237
42	0.6	3.761200116	0.470003629
43	0.7	3.784189634	0.530628251
44	0.8	3.80666249	0.587786665
45	0.6	3.828641396	0.470003629
46	0.6	3.850147602	0.470003629
47	0.3	3.871201011	0.262364264
48	0.4	3.891820298	0.336472237
49	0.2	3.912023005	0.182321557
50	0.3	3.931825633	0.262364264
51	0.4	3.951243719	0.336472237
52	0	3.970291914	0
53	0.6	3.988984047	0.470003629
54	0.2	4.007333185	0.182321557
55	0	4.025351691	0
56	0.3	4.043051268	0.262364264
57	0.4	4.060443011	0.336472237
58	0	4.077537444	0
59	0.2	4.094344562	0.182321557
60	0.1	4.110873864	0.09531018
61	0.3	4.127134385	0.262364264
62	0.1	4.143134726	0.09531018
63	0.1	4.158883083	0.09531018
64	0.1	4.17438727	0.09531018
65	0.1	4.189654742	0.09531018
66	0.4	4.204692619	0.336472237
67	0.1	4.219507705	0.09531018
68	0	4.234106505	0
69	0	4.248495242	0
70	0.3	4.262679877	0.262364264
71	0	4.276666119	0
72	0.1	4.290459441	0.09531018
73	0	4.304065093	0
74	0.2	4.317488114	0.182321557
75	0.3	4.33073334	0.262364264
76	0.1	4.343805422	0.09531018
77	0.2	4.356708827	0.182321557
78	0	4.369447852	0
79	0.1	4.382026635	0.09531018
80	0.1	4.394449155	0.09531018
81	0.1	4.406719247	0.09531018
82	0	4.418840608	0
83	0.1	4.430816799	0.09531018
84	0.1	4.442651256	0.09531018
85	0	4.454347296	0
86	0.1	4.465908119	0.09531018
87	0.1	4.477336814	0.09531018
88	0	4.48863637	0
89	0.1	4.49980967	0.09531018
90	0	4.510859507	0
91	0	4.521788577	0
92	0.3	4.532599493	0.262364264
93	0.1	4.543294782	0.09531018
94	0	4.553876892	0
95	0.1	4.564348191	0.09531018
96	0.1	4.574710979	0.09531018
97	0	4.584967479	0
98	0	4.59511985	0
99	0	4.605170186	0
100	0	4.615120517	0
101	0.1	4.624972813	0.09531018
102	0.1	4.634728988	0.09531018
103	0	4.644390899	0
104	0	4.65396035	0
105	0	4.663439094	0
106	0.1	4.672828834	0.09531018
107	0	4.682131227	0
108	0	4.691347882	0
109	0	4.700480366	0
110	0.1	4.709530201	0.09531018
111	0	4.718498871	0
112	0.1	4.727387819	0.09531018
113	0	4.736198448	0
114	0	4.744932128	0
115	0	4.753590191	0
116	0	4.762173935	0
117	0	4.770684624	0
118	0	4.779123493	0
119	0	4.787491743	0
120	0.1	4.795790546	0.09531018
121	0	4.804021045	0
122	0	4.812184355	0
123	0	4.820281566	0
124	0	4.828313737	0
125	0.1	4.836281907	0.09531018
126	0	4.844187086	0
127	0	4.852030264	0
128	0	4.859812404	0
129	0.1	4.86753445	0.09531018
130	0	4.875197323	0
131	0	4.882801923	0
132	0	4.890349128	0
133	0	4.8978398	0
134	0.1	4.905274778	0.09531018
135	0	4.912654886	0
136	0.1	4.919980926	0.09531018
137	0	4.927253685	0
138	0	4.934473933	0
139	0	4.941642423	0
140	0.1	4.94875989	0.09531018
141	0.1	4.955827058	0.09531018
142	0	4.96284463	0
143	0.1	4.9698133	0.09531018
144	0	4.976733742	0
145	0	4.983606622	0
146	0	4.990432587	0
147	0	4.997212274	0
148	0	5.003946306	0
149	0	5.010635294	0
150	0	5.017279837	0
151	0	5.023880521	0
152	0	5.030437921	0
153	0	5.036952602	0
154	0	5.043425117	0
155	0	5.049856007	0
156	0	5.056245805	0
157	0.1	5.062595033	0.09531018
158	0	5.068904202	0
159	0	5.075173815	0
160	0	5.081404365	0
