x	y	lnx	lny
0	20.4	0	3.063390922
1	73	0.693147181	4.304065093
2	153.5	1.098612289	5.040194096
3	250.8	1.386294361	5.528635122
4	345.1	1.609437912	5.846727751
5	416.9	1.791759469	6.035242169
6	491.5	1.945910149	6.199494461
7	541.8	2.079441542	6.296740928
8	590.6	2.197224577	6.382830731
9	643.4	2.302585093	6.468319651
10	619.8	2.397895273	6.431008969
11	609.9	2.48490665	6.41493328
12	582.4	2.564949357	6.368873057
13	525.2	2.63905733	6.265681369
14	498.9	2.708050201	6.214408078
15	421.9	2.772588722	6.047135744
16	372	2.833213344	5.92157842
17	315.2	2.890371758	5.756374925
18	289.2	2.944438979	5.67057034
19	237.6	2.995732274	5.47478851
20	196.1	3.044522438	5.283711214
21	169.8	3.091042453	5.140493281
22	148	3.135494216	5.003946306
23	127.1	3.17805383	4.852811209
24	110.3	3.218875825	4.712229258
25	97.6	3.258096538	4.591071262
26	86.8	3.295836866	4.475061501
27	73.7	3.33220451	4.313480092
28	67	3.36729583	4.219507705
29	59.8	3.401197382	4.107589789
30	54.4	3.433987204	4.014579594
31	50.1	3.465735903	3.933784497
32	41.2	3.496507561	3.742420221
33	38.6	3.526360525	3.678829118
34	35.5	3.555348061	3.597312261
35	30.3	3.583518938	3.443618098
36	30.8	3.610917913	3.45946629
37	28.7	3.63758616	3.391147046
38	25.4	3.663561646	3.27336401
39	23.6	3.688879454	3.202746443
40	24.4	3.713572067	3.234749174
41	20.4	3.737669618	3.063390922
42	20.7	3.761200116	3.077312261
43	18.3	3.784189634	2.960105096
44	16.4	3.80666249	2.856470206
45	14.5	3.828641396	2.740840024
46	14.5	3.850147602	2.740840024
47	14.7	3.871201011	2.753660712
48	14.1	3.891820298	2.714694744
49	11.9	3.912023005	2.557227311
50	11.9	3.931825633	2.557227311
51	12.5	3.951243719	2.602689685
52	10.5	3.970291914	2.442347035
53	9.1	3.988984047	2.312535424
54	10.9	4.007333185	2.4765384
55	8.5	4.025351691	2.251291799
56	9.4	4.043051268	2.341805806
57	8.4	4.060443011	2.240709689
58	7	4.077537444	2.079441542
59	5.8	4.094344562	1.916922612
60	8.5	4.110873864	2.251291799
61	6.7	4.127134385	2.041220329
62	5.9	4.143134726	1.931521412
63	5.7	4.158883083	1.902107526
64	4.9	4.17438727	1.774952351
65	6.5	4.189654742	2.014903021
66	5.3	4.204692619	1.840549633
67	4	4.219507705	1.609437912
68	3.7	4.234106505	1.547562509
69	4.1	4.248495242	1.62924054
70	4.1	4.262679877	1.62924054
71	4.4	4.276666119	1.686398954
72	3.7	4.290459441	1.547562509
73	4.1	4.304065093	1.62924054
74	4.1	4.317488114	1.62924054
75	2.9	4.33073334	1.360976553
76	4.2	4.343805422	1.648658626
77	3.7	4.356708827	1.547562509
78	3	4.369447852	1.386294361
79	3.6	4.382026635	1.526056303
80	3.7	4.394449155	1.547562509
81	3	4.406719247	1.386294361
82	3.9	4.418840608	1.589235205
83	1.9	4.430816799	1.064710737
84	2.8	4.442651256	1.335001067
85	2.1	4.454347296	1.131402111
86	1.9	4.465908119	1.064710737
87	2.6	4.477336814	1.280933845
88	3.1	4.48863637	1.410986974
89	1.8	4.49980967	1.029619417
90	2.4	4.510859507	1.223775432
91	3.3	4.521788577	1.458615023
92	1.7	4.532599493	0.993251773
93	1.9	4.543294782	1.064710737
94	1.8	4.553876892	1.029619417
95	0.9	4.564348191	0.641853886
96	1.8	4.574710979	1.029619417
97	2	4.584967479	1.098612289
98	1.6	4.59511985	0.955511445
99	1.8	4.605170186	1.029619417
100	1.6	4.615120517	0.955511445
101	1.9	4.624972813	1.064710737
102	1.5	4.634728988	0.916290732
103	1.7	4.644390899	0.993251773
104	1.1	4.65396035	0.741937345
105	1	4.663439094	0.693147181
