x	y	lnx	lny
0	264.3	0	5.580861261
1	543.7	0.693147181	6.300235184
2	741.6	1.098612289	6.610157542
3	868.3	1.386294361	6.76768829
4	934.1	1.609437912	6.840653475
5	912	1.791759469	6.816735881
6	836.3	1.945910149	6.730182429
7	734.4	2.079441542	6.600414569
8	639.4	2.197224577	6.462092981
9	545.9	2.302585093	6.30426597
10	474	2.397895273	6.163314804
11	377.8	2.48490665	5.937008361
12	322.5	2.564949357	5.779199114
13	269.8	2.63905733	5.601380541
14	214.1	2.708050201	5.371103036
15	168.7	2.772588722	5.134032172
16	147.6	2.833213344	5.001258132
17	116.2	2.890371758	4.763881877
18	96.8	2.944438979	4.582924577
19	82.5	2.995732274	4.424846632
20	67.9	3.044522438	4.232656178
21	58.4	3.091042453	4.084294226
22	52.3	3.135494216	3.975936331
23	42.6	3.17805383	3.77505715
24	36.2	3.218875825	3.616308761
25	33	3.258096538	3.526360525
26	30.5	3.295836866	3.449987546
27	25.7	3.33220451	3.284663565
28	22.4	3.36729583	3.152736022
29	20.7	3.401197382	3.077312261
30	19.3	3.433987204	3.010620886
31	19.5	3.465735903	3.020424886
32	17	3.496507561	2.890371758
33	14.2	3.526360525	2.721295428
34	13.9	3.555348061	2.701361213
35	13.2	3.583518938	2.653241965
36	10.8	3.610917913	2.468099531
37	10.6	3.63758616	2.451005098
38	10.1	3.663561646	2.406945108
39	9.7	3.688879454	2.370243741
40	8.8	3.713572067	2.282382386
41	7.7	3.737669618	2.163323026
42	6.9	3.761200116	2.066862759
43	7.8	3.784189634	2.174751721
44	7.4	3.80666249	2.128231706
45	5.6	3.828641396	1.887069649
46	4	3.850147602	1.609437912
47	3.5	3.871201011	1.504077397
48	4.3	3.891820298	1.667706821
49	4.4	3.912023005	1.686398954
50	4.1	3.931825633	1.62924054
51	4.1	3.951243719	1.62924054
52	4.6	3.970291914	1.722766598
53	4	3.988984047	1.609437912
54	2.7	4.007333185	1.30833282
55	3.8	4.025351691	1.568615918
56	3	4.043051268	1.386294361
57	2.3	4.060443011	1.193922468
58	3.3	4.077537444	1.458615023
59	2.4	4.094344562	1.223775432
60	2.7	4.110873864	1.30833282
61	2.2	4.127134385	1.16315081
62	1.7	4.143134726	0.993251773
63	1.9	4.158883083	1.064710737
64	2.9	4.17438727	1.360976553
65	2.6	4.189654742	1.280933845
66	1.9	4.204692619	1.064710737
67	1.4	4.219507705	0.875468737
68	1.4	4.234106505	0.875468737
