x	y	lnx	lny
0	4629.4	0	8.440398536
1	1031.2	0.693147181	6.939447726
2	1053.4	1.098612289	6.960727164
3	892.6	1.386294361	6.795258248
4	703.4	1.609437912	6.557346377
5	506.1	1.791759469	6.228708223
6	339.7	1.945910149	5.831002325
7	217.9	2.079441542	5.388615005
8	143.1	2.197224577	4.970507503
9	97.6	2.302585093	4.591071262
10	64	2.397895273	4.17438727
11	44.3	2.48490665	3.813307032
12	36.1	2.564949357	3.61361697
13	28.2	2.63905733	3.374168709
14	23.8	2.708050201	3.210843653
15	16.6	2.772588722	2.867898902
16	14.2	2.833213344	2.721295428
17	12.8	2.890371758	2.624668592
18	12.9	2.944438979	2.63188884
19	9.8	2.995732274	2.379546134
20	8.1	3.044522438	2.208274414
21	7.1	3.091042453	2.091864062
22	8.1	3.135494216	2.208274414
23	6.5	3.17805383	2.014903021
24	3.7	3.218875825	1.547562509
25	4.8	3.258096538	1.757857918
26	3.4	3.295836866	1.481604541
27	3.1	3.33220451	1.410986974
28	3.5	3.36729583	1.504077397
29	3.1	3.401197382	1.410986974
30	2.7	3.433987204	1.30833282
31	3.6	3.465735903	1.526056303
32	2.6	3.496507561	1.280933845
33	3.3	3.526360525	1.458615023
34	1.8	3.555348061	1.029619417
35	2.2	3.583518938	1.16315081
36	2.1	3.610917913	1.131402111
37	1.7	3.63758616	0.993251773
38	1.9	3.663561646	1.064710737
39	1.5	3.688879454	0.916290732
40	1	3.713572067	0.693147181
41	1.4	3.737669618	0.875468737
42	0.9	3.761200116	0.641853886
43	1.9	3.784189634	1.064710737
44	1.5	3.80666249	0.916290732
45	0.9	3.828641396	0.641853886
46	0.8	3.850147602	0.587786665
47	1.4	3.871201011	0.875468737
48	1.4	3.891820298	0.875468737
49	0.8	3.912023005	0.587786665
50	0.2	3.931825633	0.182321557
51	0.7	3.951243719	0.530628251
52	1.4	3.970291914	0.875468737
53	0.4	3.988984047	0.336472237
54	0.6	4.007333185	0.470003629
55	0.6	4.025351691	0.470003629
56	0.7	4.043051268	0.530628251
57	0.5	4.060443011	0.405465108
58	0.3	4.077537444	0.262364264
59	0.8	4.094344562	0.587786665
60	0.3	4.110873864	0.262364264
61	0.9	4.127134385	0.641853886
62	0.7	4.143134726	0.530628251
63	0.3	4.158883083	0.262364264
64	0.2	4.17438727	0.182321557
65	0.4	4.189654742	0.336472237
66	0.7	4.204692619	0.530628251
67	0.3	4.219507705	0.262364264
68	0.5	4.234106505	0.405465108
69	0.6	4.248495242	0.470003629
70	0.5	4.262679877	0.405465108
71	0.4	4.276666119	0.336472237
72	0.2	4.290459441	0.182321557
73	0.1	4.304065093	0.09531018
74	0.3	4.317488114	0.262364264
75	0.1	4.33073334	0.09531018
76	0.3	4.343805422	0.262364264
77	0.2	4.356708827	0.182321557
78	0.3	4.369447852	0.262364264
79	0.6	4.382026635	0.470003629
80	0.1	4.394449155	0.09531018
81	0.3	4.406719247	0.262364264
82	0.3	4.418840608	0.262364264
83	0.9	4.430816799	0.641853886
84	0.3	4.442651256	0.262364264
85	0.8	4.454347296	0.587786665
86	0.5	4.465908119	0.405465108
87	0.3	4.477336814	0.262364264
88	0.4	4.48863637	0.336472237
89	0.3	4.49980967	0.262364264
90	0.2	4.510859507	0.182321557
91	0.2	4.521788577	0.182321557
92	0.1	4.532599493	0.09531018
93	0.3	4.543294782	0.262364264
94	0	4.553876892	0
95	0	4.564348191	0
96	0	4.574710979	0
97	0	4.584967479	0
98	0.4	4.59511985	0.336472237
99	0	4.605170186	0
100	0.4	4.615120517	0.336472237
101	0.4	4.624972813	0.336472237
102	0.3	4.634728988	0.262364264
103	0	4.644390899	0
104	0	4.65396035	0
105	0.2	4.663439094	0.182321557
106	0	4.672828834	0
107	0.2	4.682131227	0.182321557
108	0.4	4.691347882	0.336472237
109	0.1	4.700480366	0.09531018
110	0.1	4.709530201	0.09531018
111	0	4.718498871	0
112	0.1	4.727387819	0.09531018
113	0.4	4.736198448	0.336472237
114	0.2	4.744932128	0.182321557
115	0.4	4.753590191	0.336472237
116	0.1	4.762173935	0.09531018
117	0.1	4.770684624	0.09531018
118	0	4.779123493	0
119	0.4	4.787491743	0.336472237
120	0.1	4.795790546	0.09531018
121	0.1	4.804021045	0.09531018
122	0.2	4.812184355	0.182321557
123	0.2	4.820281566	0.182321557
124	0.1	4.828313737	0.09531018
125	0.1	4.836281907	0.09531018
126	0.2	4.844187086	0.182321557
127	0.1	4.852030264	0.09531018
128	0.2	4.859812404	0.182321557
129	0.2	4.86753445	0.182321557
130	0.1	4.875197323	0.09531018
131	0.1	4.882801923	0.09531018
132	0	4.890349128	0
133	0.2	4.8978398	0.182321557
134	0.1	4.905274778	0.09531018
135	0.2	4.912654886	0.182321557
136	0.2	4.919980926	0.182321557
137	0.1	4.927253685	0.09531018
138	0.1	4.934473933	0.09531018
139	0.1	4.941642423	0.09531018
140	0.1	4.94875989	0.09531018
141	0	4.955827058	0
142	0	4.96284463	0
143	0.2	4.9698133	0.182321557
144	0.1	4.976733742	0.09531018
145	0.1	4.983606622	0.09531018
146	0	4.990432587	0
147	0.1	4.997212274	0.09531018
148	0.2	5.003946306	0.182321557
149	0.1	5.010635294	0.09531018
150	0.1	5.017279837	0.09531018
151	0	5.023880521	0
152	0.2	5.030437921	0.182321557
153	0.2	5.036952602	0.182321557
154	0	5.043425117	0
155	0	5.049856007	0
156	0	5.056245805	0
157	0	5.062595033	0
158	0.2	5.068904202	0.182321557
159	0.1	5.075173815	0.09531018
160	0	5.081404365	0
161	0	5.087596335	0
162	0.1	5.093750201	0.09531018
163	0.2	5.099866428	0.182321557
164	0.1	5.105945474	0.09531018
165	0	5.111987788	0
166	0.1	5.117993812	0.09531018
167	0.1	5.123963979	0.09531018
168	0	5.129898715	0
169	0.1	5.135798437	0.09531018
170	0	5.141663557	0
171	0.1	5.147494477	0.09531018
172	0	5.153291594	0
173	0	5.159055299	0
174	0	5.164785974	0
175	0.1	5.170483995	0.09531018
176	0.2	5.176149733	0.182321557
177	0	5.18178355	0
178	0	5.187385806	0
179	0	5.192956851	0
180	0	5.198497031	0
181	0	5.204006687	0
182	0.1	5.209486153	0.09531018
183	0	5.214935758	0
184	0.1	5.220355825	0.09531018
185	0	5.225746674	0
186	0.1	5.231108617	0.09531018
187	0	5.236441963	0
188	0	5.241747015	0
189	0	5.247024072	0
190	0	5.252273428	0
191	0	5.257495372	0
192	0.3	5.262690189	0.262364264
193	0.1	5.267858159	0.09531018
194	0	5.272999559	0
195	0	5.278114659	0
196	0	5.283203729	0
197	0.1	5.288267031	0.09531018
198	0	5.293304825	0
199	0.1	5.298317367	0.09531018
200	0.1	5.303304908	0.09531018
201	0	5.308267697	0
202	0.2	5.313205979	0.182321557
203	0	5.318119994	0
204	0.1	5.323009979	0.09531018
205	0.1	5.327876169	0.09531018
206	0.1	5.332718793	0.09531018
207	0	5.33753808	0
208	0.1	5.342334252	0.09531018
209	0	5.347107531	0
