x	y	lnx	lny
0	1	0	0.693147181
1	0	0.693147181	0
2	0	1.098612289	0
3	0	1.386294361	0
4	0	1.609437912	0
5	0	1.791759469	0
6	0	1.945910149	0
7	0	2.079441542	0
8	0	2.197224577	0
9	0	2.302585093	0
10	1665.5	2.397895273	7.418480898
11	1266	2.48490665	7.14440718
12	1016.7	2.564949357	6.925300458
13	806.7	2.63905733	6.694190702
14	648.5	2.708050201	6.476202836
15	547.7	2.772588722	6.307551844
16	446.6	2.833213344	6.103899976
17	372	2.890371758	5.92157842
18	325.6	2.944438979	5.788736181
19	275.7	2.995732274	5.622933887
20	235.6	3.044522438	5.466370952
21	203.4	3.091042453	5.320078858
22	178.4	3.135494216	5.18961795
23	162.6	3.17805383	5.097424424
24	137.3	3.218875825	4.929425239
25	121.5	3.258096538	4.80811103
26	107.5	3.295836866	4.686750173
27	100.4	3.33220451	4.619073091
28	92.1	3.36729583	4.533674184
29	80.9	3.401197382	4.405498991
30	76.2	3.433987204	4.346399457
31	67.3	3.465735903	4.223909767
32	59.1	3.496507561	4.096009842
33	58.1	3.526360525	4.079230924
34	49.9	3.555348061	3.929862924
35	52.2	3.583518938	3.974058396
36	46.6	3.610917913	3.862832761
37	40.4	3.63758616	3.723280881
38	37.7	3.663561646	3.6558396
39	35	3.688879454	3.583518938
40	33.9	3.713572067	3.552486829
41	29.6	3.737669618	3.421000009
42	28.7	3.761200116	3.391147046
43	25.3	3.784189634	3.269568939
44	24.4	3.80666249	3.234749174
45	22.8	3.828641396	3.169685581
46	21.6	3.850147602	3.117949906
47	20.1	3.871201011	3.04927304
48	17.2	3.891820298	2.901421594
49	18.3	3.912023005	2.960105096
50	17.1	3.931825633	2.895911938
51	14.1	3.951243719	2.714694744
52	15.8	3.970291914	2.821378886
53	12.9	3.988984047	2.63188884
54	15	4.007333185	2.772588722
55	12.1	4.025351691	2.57261223
56	12.3	4.043051268	2.587764035
57	11.3	4.060443011	2.509599262
58	10.6	4.077537444	2.451005098
59	9.5	4.094344562	2.351375257
60	10.4	4.110873864	2.433613355
61	8.6	4.127134385	2.261763098
62	9.8	4.143134726	2.379546134
63	7.3	4.158883083	2.116255515
64	7.7	4.17438727	2.163323026
65	7.1	4.189654742	2.091864062
66	8.8	4.204692619	2.282382386
67	7.7	4.219507705	2.163323026
68	5.9	4.234106505	1.931521412
69	6.4	4.248495242	2.00148
70	4.7	4.262679877	1.740466175
71	7.6	4.276666119	2.151762203
72	5.9	4.290459441	1.931521412
73	4.9	4.304065093	1.774952351
74	4.8	4.317488114	1.757857918
75	4.5	4.33073334	1.704748092
76	5.9	4.343805422	1.931521412
77	4.9	4.356708827	1.774952351
78	3.1	4.369447852	1.410986974
79	4.4	4.382026635	1.686398954
80	5.5	4.394449155	1.871802177
81	3.6	4.406719247	1.526056303
82	3.9	4.418840608	1.589235205
83	3.4	4.430816799	1.481604541
84	3.1	4.442651256	1.410986974
85	2.9	4.454347296	1.360976553
86	3.1	4.465908119	1.410986974
87	3.7	4.477336814	1.547562509
88	3.6	4.48863637	1.526056303
89	2.6	4.49980967	1.280933845
90	3.5	4.510859507	1.504077397
91	3.9	4.521788577	1.589235205
92	3.5	4.532599493	1.504077397
93	2.8	4.543294782	1.335001067
94	3.2	4.553876892	1.435084525
95	2.7	4.564348191	1.30833282
96	2.6	4.574710979	1.280933845
97	2	4.584967479	1.098612289
98	1.8	4.59511985	1.029619417
99	2.3	4.605170186	1.193922468
100	3	4.615120517	1.386294361
101	2.2	4.624972813	1.16315081
102	2.8	4.634728988	1.335001067
103	2.4	4.644390899	1.223775432
104	2	4.65396035	1.098612289
105	1.6	4.663439094	0.955511445
106	2.1	4.672828834	1.131402111
107	1.8	4.682131227	1.029619417
108	1.8	4.691347882	1.029619417
109	1.6	4.700480366	0.955511445
110	1.3	4.709530201	0.832909123
111	1.2	4.718498871	0.78845736
112	1.6	4.727387819	0.955511445
113	0.9	4.736198448	0.641853886
114	1.7	4.744932128	0.993251773
115	1.7	4.753590191	0.993251773
116	1.8	4.762173935	1.029619417
117	1.5	4.770684624	0.916290732
118	1.6	4.779123493	0.955511445
119	1	4.787491743	0.693147181
120	1.7	4.795790546	0.993251773
121	1.1	4.804021045	0.741937345
122	0.8	4.812184355	0.587786665
123	1.3	4.820281566	0.832909123
124	1.7	4.828313737	0.993251773
125	1.4	4.836281907	0.875468737
126	0.7	4.844187086	0.530628251
127	1.4	4.852030264	0.875468737
128	1.3	4.859812404	0.832909123
