x	y	lnx	lny
0	3652.1	0	8.203331401
1	1141.5	0.693147181	7.040974123
2	1253.1	1.098612289	7.134173463
3	1091.1	1.386294361	6.995857727
4	847.7	1.609437912	6.743705767
5	589.7	1.791759469	6.381308274
6	398.7	1.945910149	5.990714266
7	262.1	2.079441542	5.572534188
8	170.8	2.197224577	5.14633101
9	117.4	2.302585093	4.774068722
10	87.6	2.397895273	4.484131858
11	58.6	2.48490665	4.087655574
12	49.7	2.564949357	3.925925911
13	38.1	2.63905733	3.666122467
14	33	2.708050201	3.526360525
15	21.2	2.772588722	3.100092289
16	18.7	2.833213344	2.980618636
17	17.5	2.890371758	2.917770732
18	14.6	2.944438979	2.747270914
19	10	2.995732274	2.397895273
20	11.7	3.044522438	2.541601993
21	8.8	3.091042453	2.282382386
22	9.5	3.135494216	2.351375257
23	5.3	3.17805383	1.840549633
24	6.3	3.218875825	1.987874348
25	5.1	3.258096538	1.808288771
26	5.7	3.295836866	1.902107526
27	4.4	3.33220451	1.686398954
28	3.9	3.36729583	1.589235205
29	4.5	3.401197382	1.704748092
30	3.9	3.433987204	1.589235205
31	3.5	3.465735903	1.504077397
32	2.4	3.496507561	1.223775432
33	2.5	3.526360525	1.252762968
34	3.2	3.555348061	1.435084525
35	2.3	3.583518938	1.193922468
36	1.7	3.610917913	0.993251773
37	2	3.63758616	1.098612289
38	1.8	3.663561646	1.029619417
39	1.6	3.688879454	0.955511445
40	0.9	3.713572067	0.641853886
41	1.9	3.737669618	1.064710737
42	1.6	3.761200116	0.955511445
43	1.1	3.784189634	0.741937345
44	1	3.80666249	0.693147181
45	1.1	3.828641396	0.741937345
46	0.7	3.850147602	0.530628251
47	0.9	3.871201011	0.641853886
48	0.8	3.891820298	0.587786665
49	0.7	3.912023005	0.530628251
50	0.9	3.931825633	0.641853886
51	0.9	3.951243719	0.641853886
52	1	3.970291914	0.693147181
53	0.6	3.988984047	0.470003629
54	0.2	4.007333185	0.182321557
55	1	4.025351691	0.693147181
56	0.6	4.043051268	0.470003629
57	0.4	4.060443011	0.336472237
58	0.6	4.077537444	0.470003629
59	0.6	4.094344562	0.470003629
60	0.3	4.110873864	0.262364264
61	0.5	4.127134385	0.405465108
62	0.4	4.143134726	0.336472237
63	0.2	4.158883083	0.182321557
64	0.4	4.17438727	0.336472237
65	0.5	4.189654742	0.405465108
66	0.4	4.204692619	0.336472237
67	0.3	4.219507705	0.262364264
68	0.5	4.234106505	0.405465108
69	0.3	4.248495242	0.262364264
70	0	4.262679877	0
71	0.4	4.276666119	0.336472237
72	0.2	4.290459441	0.182321557
73	0.1	4.304065093	0.09531018
74	0.1	4.317488114	0.09531018
75	0.2	4.33073334	0.182321557
76	0.3	4.343805422	0.262364264
77	0.3	4.356708827	0.262364264
78	0.2	4.369447852	0.182321557
79	0.4	4.382026635	0.336472237
80	0.5	4.394449155	0.405465108
81	0.3	4.406719247	0.262364264
82	0.3	4.418840608	0.262364264
83	0.2	4.430816799	0.182321557
84	0.5	4.442651256	0.405465108
85	0	4.454347296	0
86	0.1	4.465908119	0.09531018
87	0.2	4.477336814	0.182321557
88	0.2	4.48863637	0.182321557
89	0	4.49980967	0
90	0.5	4.510859507	0.405465108
91	0.1	4.521788577	0.09531018
92	0.5	4.532599493	0.405465108
93	0.2	4.543294782	0.182321557
94	0	4.553876892	0
95	0.1	4.564348191	0.09531018
96	0.1	4.574710979	0.09531018
97	0.1	4.584967479	0.09531018
98	0	4.59511985	0
99	0.1	4.605170186	0.09531018
100	0.1	4.615120517	0.09531018
101	0.1	4.624972813	0.09531018
102	0.2	4.634728988	0.182321557
103	0.2	4.644390899	0.182321557
104	0.1	4.65396035	0.09531018
105	0	4.663439094	0
106	0.4	4.672828834	0.336472237
107	0.2	4.682131227	0.182321557
108	0.1	4.691347882	0.09531018
109	0.1	4.700480366	0.09531018
110	0	4.709530201	0
111	0.1	4.718498871	0.09531018
112	0.2	4.727387819	0.182321557
113	0.1	4.736198448	0.09531018
114	0	4.744932128	0
115	0.1	4.753590191	0.09531018
116	0	4.762173935	0
117	0	4.770684624	0
118	0.2	4.779123493	0.182321557
119	0.1	4.787491743	0.09531018
120	0.2	4.795790546	0.182321557
121	0.1	4.804021045	0.09531018
122	0.1	4.812184355	0.09531018
123	0.1	4.820281566	0.09531018
124	0	4.828313737	0
125	0.2	4.836281907	0.182321557
126	0.2	4.844187086	0.182321557
127	0.1	4.852030264	0.09531018
128	0.1	4.859812404	0.09531018
129	0	4.86753445	0
130	0.1	4.875197323	0.09531018
131	0	4.882801923	0
132	0.2	4.890349128	0.182321557
