x	y	lnx	lny
0	1	0	0.693147181
1	0	0.693147181	0
2	0	1.098612289	0
3	0	1.386294361	0
4	0	1.609437912	0
5	0	1.791759469	0
6	0	1.945910149	0
7	2211.2	2.079441542	7.701742774
8	1544	2.197224577	7.342779189
9	1124.2	2.302585093	7.025716077
10	849.7	2.397895273	6.74605954
11	651.1	2.48490665	6.480197924
12	506.4	2.564949357	6.229299647
13	421.2	2.63905733	6.045479135
14	330.5	2.708050201	5.80362781
15	280	2.772588722	5.638354669
16	237.1	2.833213344	5.472690753
17	192	2.890371758	5.262690189
18	159.6	2.944438979	5.078916802
19	139	2.995732274	4.941642423
20	125.6	3.044522438	4.84103251
21	102	3.091042453	4.634728988
22	93.2	3.135494216	4.545420182
23	83.3	3.17805383	4.434381865
24	69.3	3.218875825	4.252771799
25	65.4	3.258096538	4.195697056
26	64.2	3.295836866	4.177459469
27	49.7	3.33220451	3.925925911
28	48	3.36729583	3.891820298
29	42.9	3.401197382	3.78191432
30	36.4	3.433987204	3.621670704
31	35	3.465735903	3.583518938
32	29	3.496507561	3.401197382
33	27.3	3.526360525	3.342861805
34	25.3	3.555348061	3.269568939
35	23.9	3.583518938	3.214867803
36	21.7	3.610917913	3.122364924
37	21.3	3.63758616	3.104586678
38	17.5	3.663561646	2.917770732
39	18.9	3.688879454	2.990719732
40	16.5	3.713572067	2.862200881
41	14.6	3.737669618	2.747270914
42	12.6	3.761200116	2.610069793
43	14.3	3.784189634	2.727852828
44	12.1	3.80666249	2.57261223
45	12.8	3.828641396	2.624668592
46	10.1	3.850147602	2.406945108
47	9.7	3.871201011	2.370243741
48	9.7	3.891820298	2.370243741
49	9.7	3.912023005	2.370243741
50	6.6	3.931825633	2.028148247
51	8.4	3.951243719	2.240709689
52	9	3.970291914	2.302585093
53	5.8	3.988984047	1.916922612
54	5.9	4.007333185	1.931521412
55	7.4	4.025351691	2.128231706
56	7.4	4.043051268	2.128231706
57	6	4.060443011	1.945910149
58	6.8	4.077537444	2.054123734
59	6.2	4.094344562	1.974081026
60	6.2	4.110873864	1.974081026
61	5	4.127134385	1.791759469
62	5	4.143134726	1.791759469
63	4.7	4.158883083	1.740466175
64	3.2	4.17438727	1.435084525
65	3.3	4.189654742	1.458615023
66	3.7	4.204692619	1.547562509
67	3.2	4.219507705	1.435084525
68	4.4	4.234106505	1.686398954
69	3.1	4.248495242	1.410986974
70	3.8	4.262679877	1.568615918
71	3.7	4.276666119	1.547562509
72	3.3	4.290459441	1.458615023
73	2.8	4.304065093	1.335001067
74	2.5	4.317488114	1.252762968
75	3	4.33073334	1.386294361
76	1.8	4.343805422	1.029619417
77	1.6	4.356708827	0.955511445
78	1.9	4.369447852	1.064710737
79	2.1	4.382026635	1.131402111
80	1.8	4.394449155	1.029619417
81	2.2	4.406719247	1.16315081
82	2.5	4.418840608	1.252762968
83	2.6	4.430816799	1.280933845
84	2	4.442651256	1.098612289
85	2.2	4.454347296	1.16315081
86	1.3	4.465908119	0.832909123
87	1.6	4.477336814	0.955511445
88	1.4	4.48863637	0.875468737
89	1.4	4.49980967	0.875468737
90	1.8	4.510859507	1.029619417
91	1.3	4.521788577	0.832909123
92	1.9	4.532599493	1.064710737
93	0.9	4.543294782	0.641853886
94	1.2	4.553876892	0.78845736
95	1.8	4.564348191	1.029619417
96	0.9	4.574710979	0.641853886
97	0.8	4.584967479	0.587786665
98	2.1	4.59511985	1.131402111
99	1.8	4.605170186	1.029619417
100	1.5	4.615120517	0.916290732
101	1.1	4.624972813	0.741937345
102	1.2	4.634728988	0.78845736
103	0.4	4.644390899	0.336472237
104	0.6	4.65396035	0.470003629
105	1	4.663439094	0.693147181
106	0.6	4.672828834	0.470003629
107	0.7	4.682131227	0.530628251
108	1.1	4.691347882	0.741937345
109	0.6	4.700480366	0.470003629
110	0.9	4.709530201	0.641853886
111	1	4.718498871	0.693147181
112	0.6	4.727387819	0.470003629
113	0.8	4.736198448	0.587786665
114	0.4	4.744932128	0.336472237
115	0.7	4.753590191	0.530628251
116	1.2	4.762173935	0.78845736
117	0.6	4.770684624	0.470003629
118	1.2	4.779123493	0.78845736
119	0.5	4.787491743	0.405465108
120	0.4	4.795790546	0.336472237
121	0.5	4.804021045	0.405465108
122	0.9	4.812184355	0.641853886
123	0.9	4.820281566	0.641853886
124	0.2	4.828313737	0.182321557
125	0.4	4.836281907	0.336472237
126	0.7	4.844187086	0.530628251
127	0.1	4.852030264	0.09531018
128	0.7	4.859812404	0.530628251
