x	y	lnx	lny
0	1	0	0.693147181
1	0	0.693147181	0
2	4981.7	1.098612289	8.513727192
3	2005.1	1.386294361	7.603947818
4	1016.1	1.609437912	6.92471072
5	574.5	1.791759469	6.355239228
6	356.4	1.945910149	5.878855603
7	229.1	2.079441542	5.438513997
8	167.8	2.197224577	5.128714582
9	116.9	2.302585093	4.769836808
10	92.2	2.397895273	4.534747722
11	72.8	2.48490665	4.301358732
12	52.6	2.564949357	3.981549068
13	44.3	2.63905733	3.813307032
14	33.7	2.708050201	3.546739687
15	29	2.772588722	3.401197382
16	23.8	2.833213344	3.210843653
17	23.2	2.890371758	3.186352633
18	16.7	2.944438979	2.87356464
19	16.4	2.995732274	2.856470206
20	14.1	3.044522438	2.714694744
21	11.9	3.091042453	2.557227311
22	10.3	3.135494216	2.424802726
23	9.5	3.17805383	2.351375257
24	6.5	3.218875825	2.014903021
25	7.3	3.258096538	2.116255515
26	6.2	3.295836866	1.974081026
27	5.6	3.33220451	1.887069649
28	6.2	3.36729583	1.974081026
29	4	3.401197382	1.609437912
30	4.2	3.433987204	1.648658626
31	4	3.465735903	1.609437912
32	2.8	3.496507561	1.335001067
33	2.6	3.526360525	1.280933845
34	2.6	3.555348061	1.280933845
35	2.2	3.583518938	1.16315081
36	4	3.610917913	1.609437912
37	1.9	3.63758616	1.064710737
38	2.1	3.663561646	1.131402111
39	1.4	3.688879454	0.875468737
40	2.6	3.713572067	1.280933845
41	1.2	3.737669618	0.78845736
42	1.2	3.761200116	0.78845736
43	0.7	3.784189634	0.530628251
44	1	3.80666249	0.693147181
45	1.3	3.828641396	0.832909123
46	1.8	3.850147602	1.029619417
47	1.7	3.871201011	0.993251773
48	0.5	3.891820298	0.405465108
49	0.9	3.912023005	0.641853886
50	0.9	3.931825633	0.641853886
51	0.8	3.951243719	0.587786665
52	0.6	3.970291914	0.470003629
53	0.9	3.988984047	0.641853886
54	0.7	4.007333185	0.530628251
55	0.6	4.025351691	0.470003629
56	0.4	4.043051268	0.336472237
57	0.7	4.060443011	0.530628251
58	0.9	4.077537444	0.641853886
59	1	4.094344562	0.693147181
60	0.5	4.110873864	0.405465108
61	0.4	4.127134385	0.336472237
62	0.5	4.143134726	0.405465108
63	0.4	4.158883083	0.336472237
64	0.7	4.17438727	0.530628251
65	0.2	4.189654742	0.182321557
66	0.7	4.204692619	0.530628251
67	0.3	4.219507705	0.262364264
68	0.3	4.234106505	0.262364264
69	0.5	4.248495242	0.405465108
70	0.4	4.262679877	0.336472237
71	0.3	4.276666119	0.262364264
72	0.2	4.290459441	0.182321557
73	0	4.304065093	0
74	0.6	4.317488114	0.470003629
75	0.2	4.33073334	0.182321557
76	0.2	4.343805422	0.182321557
77	0.2	4.356708827	0.182321557
78	0	4.369447852	0
79	0.2	4.382026635	0.182321557
80	0.4	4.394449155	0.336472237
81	0.1	4.406719247	0.09531018
82	0.2	4.418840608	0.182321557
83	0	4.430816799	0
84	0	4.442651256	0
85	0	4.454347296	0
86	0.1	4.465908119	0.09531018
87	0	4.477336814	0
88	0.1	4.48863637	0.09531018
89	0.4	4.49980967	0.336472237
90	0.2	4.510859507	0.182321557
91	0.3	4.521788577	0.262364264
92	0.3	4.532599493	0.262364264
93	0.3	4.543294782	0.262364264
94	0.2	4.553876892	0.182321557
95	0.3	4.564348191	0.262364264
96	0.1	4.574710979	0.09531018
97	0	4.584967479	0
98	0.1	4.59511985	0.09531018
99	0.2	4.605170186	0.182321557
100	0.2	4.615120517	0.182321557
101	0	4.624972813	0
102	0	4.634728988	0
103	0.1	4.644390899	0.09531018
104	0.1	4.65396035	0.09531018
105	0.2	4.663439094	0.182321557
106	0	4.672828834	0
107	0.1	4.682131227	0.09531018
108	0	4.691347882	0
109	0	4.700480366	0
110	0.2	4.709530201	0.182321557
111	0	4.718498871	0
112	0.3	4.727387819	0.262364264
113	0	4.736198448	0
114	0	4.744932128	0
115	0	4.753590191	0
116	0.3	4.762173935	0.262364264
117	0.2	4.770684624	0.182321557
118	0	4.779123493	0
119	0.1	4.787491743	0.09531018
120	0	4.795790546	0
121	0	4.804021045	0
122	0	4.812184355	0
123	0.1	4.820281566	0.09531018
124	0	4.828313737	0
125	0.1	4.836281907	0.09531018
126	0.1	4.844187086	0.09531018
127	0	4.852030264	0
128	0	4.859812404	0
129	0.1	4.86753445	0.09531018
130	0	4.875197323	0
131	0.1	4.882801923	0.09531018
132	0	4.890349128	0
133	0	4.8978398	0
134	0.1	4.905274778	0.09531018
