x	y	lnx	lny	
145	0.5	4.983606622	0.405465108	
146	0.6	4.990432587	0.470003629	
147	0.3	4.997212274	0.262364264	
148	0.7	5.003946306	0.530628251	
149	0.5	5.010635294	0.405465108	
150	0.6	5.017279837	0.470003629	
151	0.4	5.023880521	0.336472237	
152	0.3	5.030437921	0.262364264	
153	0.3	5.036952602	0.262364264	
154	0.4	5.043425117	0.336472237	
155	0.9	5.049856007	0.641853886	
156	0.2	5.056245805	0.182321557	
157	0.5	5.062595033	0.405465108	
158	0.5	5.068904202	0.405465108	
159	0.5	5.075173815	0.405465108	
160	0.8	5.081404365	0.587786665	
161	0.8	5.087596335	0.587786665	
162	0.5	5.093750201	0.405465108	
163	0.2	5.099866428	0.182321557	
164	0.4	5.105945474	0.336472237	
165	0.8	5.111987788	0.587786665	
166	0.3	5.117993812	0.262364264	
167	0.3	5.123963979	0.262364264	
168	0.4	5.129898715	0.336472237	
169	0.7	5.135798437	0.530628251	
170	0.6	5.141663557	0.470003629	
171	0.4	5.147494477	0.336472237	
172	0.8	5.153291594	0.587786665	
173	0.8	5.159055299	0.587786665	
174	0.3	5.164785974	0.262364264	
175	0.4	5.170483995	0.336472237	
176	0.2	5.176149733	0.182321557	
177	0.9	5.18178355	0.641853886	
178	0.4	5.187385806	0.336472237	
179	0.6	5.192956851	0.470003629	
180	0.3	5.198497031	0.262364264	
181	0.1	5.204006687	0.09531018	
182	0.3	5.209486153	0.262364264	
183	0.5	5.214935758	0.405465108	
184	0.5	5.220355825	0.405465108	
185	0.6	5.225746674	0.470003629	
186	0.2	5.231108617	0.182321557	
187	0.2	5.236441963	0.182321557	
188	0.3	5.241747015	0.262364264	
189	0.5	5.247024072	0.405465108	
190	0	5.252273428	0	
191	0.2	5.257495372	0.182321557	
192	0.1	5.262690189	0.09531018	
193	0.4	5.267858159	0.336472237	
194	0.2	5.272999559	0.182321557	
195	0.2	5.278114659	0.182321557	
196	0.3	5.283203729	0.262364264	
197	0.4	5.288267031	0.336472237	
198	0.2	5.293304825	0.182321557	
199	0.2	5.298317367	0.182321557	
200	0.2	5.303304908	0.182321557	
201	0.2	5.308267697	0.182321557	
202	0.5	5.313205979	0.405465108	
203	0.1	5.318119994	0.09531018	
204	0.3	5.323009979	0.262364264	
205	0.5	5.327876169	0.405465108	
206	0.4	5.332718793	0.336472237	
207	0.4	5.33753808	0.336472237	
208	0.4	5.342334252	0.336472237	
209	0.4	5.347107531	0.336472237	
210	0.5	5.351858133	0.405465108	
211	0.3	5.356586275	0.262364264	
212	0.1	5.361292166	0.09531018	
213	0.2	5.365976015	0.182321557	
214	0.3	5.370638028	0.262364264	
215	0.3	5.375278408	0.262364264	
216	0.1	5.379897354	0.09531018	
217	0.1	5.384495063	0.09531018	
218	0.1	5.38907173	0.09531018	
219	0.3	5.393627546	0.262364264	
220	0.3	5.398162702	0.262364264	
221	0.2	5.402677382	0.182321557	
222	0.1	5.407171771	0.09531018	
223	0.3	5.411646052	0.262364264	
224	0.2	5.416100402	0.182321557	
225	0.3	5.420534999	0.262364264	
226	0.1	5.424950017	0.09531018	
227	0	5.429345629	0	
228	0.3	5.433722004	0.262364264	
229	0.3	5.438079309	0.262364264	
230	0.1	5.442417711	0.09531018	
231	0	5.446737372	0	
232	0.3	5.451038454	0.262364264	
233	0.3	5.455321115	0.262364264	
234	0.2	5.459585514	0.182321557	
235	0.1	5.463831805	0.09531018	
236	0.2	5.468060141	0.182321557	
237	0.2	5.472270674	0.182321557	
238	0.1	5.476463552	0.09531018	
239	0.1	5.480638923	0.09531018	
240	0.1	5.484796933	0.09531018	
241	0.3	5.488937726	0.262364264	
242	0.1	5.493061443	0.09531018	
243	0.1	5.497168225	0.09531018	
244	0.2	5.501258211	0.182321557	
245	0.2	5.505331536	0.182321557	
246	0.3	5.509388337	0.262364264	
247	0.1	5.513428746	0.09531018	
248	0	5.517452896	0	
249	0	5.521460918	0	
250	0.1	5.525452939	0.09531018	
251	0.1	5.529429088	0.09531018	
252	0.2	5.533389489	0.182321557	
253	0	5.537334267	0	
254	0	5.541263545	0	
255	0.3	5.545177444	0.262364264	
256	0.1	5.549076085	0.09531018	
257	0	5.552959585	0	
258	0.1	5.556828062	0.09531018	
259	0.1	5.560681631	0.09531018	
260	0.3	5.564520407	0.262364264	
261	0.1	5.568344504	0.09531018	
262	0.2	5.572154032	0.182321557	
263	0.1	5.575949103	0.09531018	
264	0.1	5.579729826	0.09531018	
265	0	5.583496309	0	
266	0.1	5.587248658	0.09531018	
267	0	5.590986981	0	
268	0.2	5.59471138	0.182321557	
269	0.1	5.598421959	0.09531018	
270	0.1	5.602118821	0.09531018	
271	0.2	5.605802066	0.182321557	
272	0	5.609471795	0	
273	0.3	5.613128106	0.262364264	
274	0	5.616771098	0	
275	0	5.620400866	0	
276	0.2	5.624017506	0.182321557	
277	0	5.627621114	0	
278	0.1	5.631211782	0.09531018	
279	0.1	5.634789603	0.09531018	
280	0.2	5.638354669	0.182321557	
281	0.2	5.641907071	0.182321557	
282	0	5.645446898	0	
283	0.1	5.648974238	0.09531018	
284	0	5.65248918	0	
285	0.1	5.655991811	0.09531018	
286	0.1	5.659482216	0.09531018	
287	0	5.66296048	0	
288	0.1	5.666426688	0.09531018	
289	0.1	5.669880923	0.09531018	
290	0.2	5.673323267	0.182321557	
291	0	5.676753802	0	
292	0.1	5.680172609	0.09531018	
293	0	5.683579767	0	
294	0	5.686975356	0	
295	0	5.690359454	0	
296	0.1	5.693732139	0.09531018	
297	0.2	5.697093487	0.182321557	
298	0	5.700443573	0	
299	0	5.703782475	0	
300	0.1	5.707110265	0.09531018	
301	0.1	5.710427017	0.09531018	
302	0.1	5.713732806	0.09531018	
303	0.3	5.717027701	0.262364264	
304	0.2	5.720311777	0.182321557	
305	0.1	5.723585102	0.09531018	
306	0.2	5.726847748	0.182321557	
307	0.1	5.730099783	0.09531018	
308	0	5.733341277	0	
309	0.1	5.736572297	0.09531018	
310	0.1	5.739792912	0.09531018	
311	0	5.743003188	0	
312	0.1	5.746203191	0.09531018	
313	0.2	5.749392986	0.182321557	
314	0	5.752572639	0	
315	0.1	5.755742214	0.09531018	
316	0.1	5.758901774	0.09531018	
317	0	5.762051383	0	
318	0.1	5.765191103	0.09531018	
319	0	5.768320996	0	
320	0	5.771441123	0	
321	0	5.774551546	0	
322	0.2	5.777652323	0.182321557	
323	0	5.780743516	0	
324	0	5.783825182	0	
325	0	5.786897381	0	
326	0.1	5.789960171	0.09531018	
327	0.1	5.793013608	0.09531018	
328	0	5.796057751	0	
329	0	5.799092654	0	
330	0.1	5.802118375	0.09531018	
331	0	5.805134969	0	
332	0.2	5.80814249	0.182321557	
333	0.3	5.811140993	0.262364264	
334	0.1	5.814130532	0.09531018	
335	0	5.81711116	0	
336	0.1	5.82008293	0.09531018	
337	0	5.823045895	0	
338	0.1	5.826000107	0.09531018	
339	0.1	5.828945618	0.09531018	
340	0	5.831882477	0	
341	0	5.834810737	0	
342	0.1	5.837730447	0.09531018	
343	0	5.840641657	0	
344	0	5.843544417	0	
345	0	5.846438775	0	
346	0	5.84932478	0	
347	0.3	5.85220248	0.262364264	
348	0	5.855071922	0	
349	0	5.857933154	0	
350	0	5.860786223	0	
351	0	5.863631176	0	
352	0	5.866468057	0	
353	0.1	5.869296913	0.09531018	
354	0	5.872117789	0	
355	0.1	5.874930731	0.09531018	
356	0.1	5.877735782	0.09531018	
357	0.2	5.880532986	0.182321557	
358	0	5.883322388	0	
359	0	5.886104031	0	
360	0.1	5.888877958	0.09531018	
361	0.1	5.891644212	0.09531018	
362	0	5.894402834	0	
363	0	5.897153868	0	
364	0	5.899897354	0	
365	0.1	5.902633333	0.09531018	
366	0.1	5.905361848	0.09531018	
367	0.1	5.908082938	0.09531018	
368	0.1	5.910796644	0.09531018	
369	0.2	5.913503006	0.182321557	
370	0	5.916202063	0	
371	0.2	5.918893854	0.182321557	
				
				
				
				
				 
