x	y
0	4629.4
1	1031.2
2	1053.4
3	892.6
4	703.4
5	506.1
6	339.7
7	217.9
8	143.1
9	97.6
10	64.0
11	44.3
12	36.1
13	28.2
14	23.8
15	16.6
16	14.2
17	12.8
18	12.9
19	9.8
20	8.1
21	7.1
22	8.1
23	6.5
24	3.7
25	4.8
26	3.4
27	3.1
28	3.5
29	3.1
30	2.7
31	3.6
32	2.6
33	3.3
34	1.8
35	2.2
36	2.1
37	1.7
38	1.9
39	1.5
40	1.0
41	1.4
42	0.9
43	1.9
44	1.5
45	0.9
46	0.8
47	1.4
48	1.4
49	0.8
50	0.2
51	0.7
52	1.4
53	0.4
54	0.6
55	0.6
56	0.7
57	0.5
58	0.3
59	0.8
60	0.3
61	0.9
62	0.7
63	0.3
64	0.2
65	0.4
66	0.7
67	0.3
68	0.5
69	0.6
70	0.5
71	0.4
72	0.2
73	0.1
74	0.3
75	0.1
76	0.3
77	0.2
78	0.3
79	0.6
80	0.1
81	0.3
82	0.3
83	0.9
84	0.3
85	0.8
86	0.5
87	0.3
88	0.4
89	0.3
90	0.2
91	0.2
92	0.1
93	0.3
94	0.0
95	0.0
96	0.0
97	0.0
98	0.4
99	0.0
100	0.4
101	0.4
102	0.3
103	0.0
104	0.0
105	0.2
106	0.0
107	0.2
108	0.4
109	0.1
110	0.1
111	0.0
112	0.1
113	0.4
114	0.2
115	0.4
116	0.1
117	0.1
118	0.0
119	0.4
120	0.1
121	0.1
122	0.2
123	0.2
124	0.1
125	0.1
126	0.2
127	0.1
128	0.2
129	0.2
130	0.1
131	0.1
132	0.0
133	0.2
134	0.1
135	0.2
136	0.2
137	0.1
138	0.1
139	0.1
140	0.1
141	0.0
142	0.0
143	0.2
144	0.1
145	0.1
146	0.0
147	0.1
148	0.2
149	0.1
150	0.1
151	0.0
152	0.2
153	0.2
154	0.0
155	0.0
156	0.0
157	0.0
158	0.2
159	0.1
160	0.0
161	0.0
162	0.1
163	0.2
164	0.1
165	0.0
166	0.1
167	0.1
168	0.0
169	0.1
170	0.0
171	0.1
172	0.0
173	0.0
174	0.0
175	0.1
176	0.2
177	0.0
178	0.0
179	0.0
180	0.0
181	0.0
182	0.1
183	0.0
184	0.1
185	0.0
186	0.1
187	0.0
188	0.0
189	0.0
190	0.0
191	0.0
192	0.3
193	0.1
194	0.0
195	0.0
196	0.0
197	0.1
198	0.0
199	0.1
200	0.1
201	0.0
202	0.2
203	0.0
204	0.1
205	0.1
206	0.1
207	0.0
208	0.1
209	0.0
210	0.2
211	0.0
212	0.1
213	0.0
214	0.0
215	0.0
216	0.0
217	0.0
218	0.1
219	0.0
220	0.0
221	0.0
222	0.0
223	0.1
224	0.0
225	0.0
226	0.1
227	0.1
228	0.0
229	0.1
230	0.0
231	0.1
232	0.0
233	0.0
234	0.1
